商品編號,商品名稱,單價
211956 , 爭鮮有機甘栗仁,59
212753 , 老干媽香辣脆油辣椒,98
212779 , (選)-康寶獨享杯-奶油蘑菇,57
212782 , (選)味王鮮寶味精50g,20
213194 , 桂格即食大燕麥片330g(罐),99
219925 , (A)一度贊爌肉麵,59
224282 , 綠的潔手乳220ml,85
232050 , Airwaves口香糖-極酷薄荷(袋),49
232173 , 公賣局米酒頭,150
232827 , Triko小熊維尼優酪果園布丁桶,209
233271 , 卡通口紅棒,20
233297 , 威雀蘇格蘭威士忌200ml,145
233323 , 台灣土豆王蒜味落花生,55
239730 , 滋露奶油口味巧克力風味糖果,18
239743 , 滋露草莓口味巧克力風味糖果,18
241256 , 迷你可樂罐,20
245315 , 麒麟一番搾350cc罐,48
245577 , 威猛先生通樂快速疏通劑,119
246439 , 星太郎點心麵-中香辣,20
246497 , 77大波露,20
250724 , (2L)康寶雞湯塊6入(新),33
250737 , (2L)康寶排骨湯塊6入(新),33
254977 , (A)一度贊紅燒牛肉麵,59
256047 , *左岸咖啡館奶茶240ml(杯),35
259215 , (選)月桂冠清酒1.8L-區域,840
259341 , 健達巧克力含牛奶內餡(4入),49
259901 , 雀巢鷹牌管狀煉奶-原味,99
259927 , 純喫茶烏龍青茶650ml(盒),25
260604 , (2L)三得利角瓶0.7L.,600
262321 , (A)健達繽紛樂,49
263267 , 統一陽光高纖燕麥穀奶300ml,35
263306 , 麥香阿薩姆紅茶PET1250,45
263694 , (2L)軒尼詩ＶＳＯＰ0.35Ｌ,940
265159 , (2L)0.6L玉尊威士忌(黑盒),320
265353 , (A)*海尼根啤酒500cc罐.,69
267096 , 哈根達斯香草迷你杯,129
267106 , 哈根達斯巧克力迷你杯,129
267216 , (區)奇威-堤瑪露彈力胎盤素面霜,179
267232 , (區)奇威-堤瑪露保濕玻尿酸面霜,179
267245 , (區)奇威-堤瑪露胎盤素身體乳液,169
267261 , (區)奇威-堤瑪露玻尿酸身體乳液,169
269726 , (A)*統一麥香紅茶TP300,10
269852 , *麒麟一番搾500cc罐,65
271543 , 卡迪那德州薯條茄汁(小),10
271776 , 曼陀珠白薄荷口味糖果,22
271789 , 曼陀珠綜合水果口味糖果,22
271792 , 曼陀珠葡萄口味糖果,22
272816 , 舒跑運動飲料PET1500,45
273464 , Kid-O三明治餅乾(奶油口味),45
274494 , 愛之味韓式泡菜,55
274960 , 青箭口香糖(17片條裝),35
277743 , *AB原味優酪乳517ml(瓶),49
278935 , 吉列長柄潤滑輕便刀3支,65
278964 , 貝納頌咖啡TP375,28
279224 , 黑牌約翰走路0.2Ｌ.,270
279538 , 紳藍經典調和蘇格蘭威士忌0.7L,520
279567 , 德芙香濃黑巧克力,49
279570 , 德芙絲滑牛奶巧克力,55
279583 , (A)德芙輕巧脆心巧克力,55
279868 , (區)山地屋-牛仔帽,150
279871 , (區)木質明信片,50
280257 , 義美蛋捲芝麻,37
280286 , 義美寶吉果汁QQ糖葡萄,35
280312 , 金蔘6年根高麗蔘芝王,69
283674 , 蝴蝶型葡萄酒開瓶器,95
284293 , 黑松沙士PET600,35
286813 , (A)*可口可樂PET600,35
287160 , 摩卡咖啡隨身包(20入),109
287173 , 哈根達斯草莓迷你杯,129
287924 , 優質全效除光液120ml,65
295213 , (A)*舒跑運動飲料PET590,29
299327 , MMS迷你糖衣巧克力,55
300106 , 虱目魚丸,16
300130 , K)叮寧小黑蚊防蚊液可倒噴100ml,250
300132 , K)綠油精叮嚀防蚊液25ML,99
300162 , K)朵漾彩色月拋-森林綠2入-0.00,200
300166 , ３Ｍ通氣紙膠帶.,60
300173 , (飾) 韓系髮箍－327 79,79
300178 , (量)可樂果鹽酥雞口味-啤酒包,39
300183 , (量)可樂果炒海瓜子口味-啤酒包,39
300190 , (G)韓國AROUND ME 積雪草沐浴乳,99
300191 , (區)統一生機蔓越莓乾(袋)135g,79
300204 , (飾)兒童娃娃壓夾(大)591 49,49
300208 , (加購) 點點好朋友造型餅乾,10
300210 , (60)馬辣肉多多麻辣燙+可樂套餐,148
300219 , 預)2025年50K手帳SDM-288C-西點,115
300222 , (7F)智利櫻桃300g/盒,199
300231 , 吉列服貼潤滑輕便刀3入裝,65
300235 , 波的多洋芋片蚵仔煎口味祈福香,199
300238 , 卡娜赫拉迷你濕紙巾-8抽8包,99
300241 , (LF)3carat夾式耳環-玫瑰,515
300244 , (LF) SA立體公仔展示包 藍天白雲,175
300245 , (熱弁當)經典滷排骨飯,79
300272 , (熱弁當)番茄炒蛋飯,79
300287 , (量)可樂果香辣煙燻滷味口味,39
300314 , (吊)21Plus綜合鹽水雞,59
300336 , 司迪生茉莉綠茶,59
300343 , 御料小館富麗米白飯,25
300387 , (區)十全葡萄醋140ml,30
300460 , 易口舒無糖薄荷錠-沁甜西瓜,75
300480 , (區)統一生機葡萄乾(袋),79
300509 , Biore含水防曬保濕水凝乳70g,399
300619 , 妮維雅男士止汗噴霧乾爽150ml,199
300644 , 預)艾爾絲平面兒童口罩50入-粉,99
300731 , (熱弁當)客家鹹豬肉飯,79
300834 , 晶華-松露烤雞義大利麵,99
300855 , Biore瞬感急凍噴霧潔淨皂香120ml,250
300938 , 韓國 樂天新樂-九尾狐燒酒,199
300999 , (區)新加坡香辣海鮮飯糰,45
301008 , 舒跑運動飲料PET590(四入),116
301019 , (離)晶華-松露烤雞義大利麵,109
301025 , (預)ZEBRA油性極細雙頭筆組-5入,159
301029 , Biore爽身淨味劑潔淨皂香滾珠,250
301058 , (預)Tombow自動鉛筆+橡皮擦,99
301072 , (優)享樂桶,340
301101 , (節)哈根達斯香草焦糖脆杏仁雪糕,129
301108 , (節)哈根達斯義布朗尼瑪奇朵雪糕,129
301110 , (節)哈根達斯淇淋巧酥雪糕,129
301127 , 2O)木曜2蘇蘇虎虎桃氣黃啤酒,99
301144 , (節)哈根達斯巧克力脆杏仁雪糕,129
301150 , (節)哈根愛爾蘭威士忌巧克力雪糕,129
301172 , (素)呷七碗麻油米糕,69
301212 , 呷七碗櫻花蝦米糕,69
301228 , 呷七碗炒炊粉,69
301249 , K)Du真我nail mine11草莓牛奶,185
301290 , (澎)(蔬)祥和塔香香鬆飯糰,31
301393 , A743KT冰品店,350
301433 , 味味一品原汁珍味爌肉麵,59
301456 , 原萃日式綠茶PET580(四入),116
301465 , T234恐龍運送車,180
301520 , 台灣康匠醫療口罩50入(素色藍),99
301526 , (金馬)(蔬)祥和塔香香鬆飯糰,31
301560 , 德國百靈油5ml,300
301561 , T218變體組,120
301623 , T220暴風車積木組,90
301722 , (2L)今獎大麴高粱酒58度300ml,159
301734 , T221俄羅斯方塊,199
301767 , 樂事原味洋芋片意合包,29
301777 , 樂事海苔壽司味洋芋片意合包,29
301793 , 閃光輪胎球,79
301803 , 酷聖日99元組合(89+10),99
301831 , F319 合金鋼甲獸,150
301864 , D065 綜合蔬果切切樂,199
301873 , 酷聖石日119元組合(109+10),119
301894 , 角落小夥伴保齡球,260
301902 , 酷聖日139元組合(129+10),139
301935 , 海洋軍艦,299
301949 , 德昌沙茶豆乾,35
301952 , 德昌五香豆乾,35
301961 , 德昌炭燒角豆乾,35
301967 , 豪華海鮮雙手卷,59
302009 , (量)Dr. Q盛夏蒟蒻(百香果+芒果),139
302011 , (7F)CP墨西哥風味雞柳300g,99
302092 , K)Du指緣修護筆-薰衣草香7.5ml,390
302203 , (預)石墨烯美型保暖衣酒紅(二入),499
302205 , K)Du真我nail mine指彩14栗子棕,185
302315 , K)Du真我nail mine13可麗露棕,185
302502 , 樂事雞汁味洋芋片意合包,29
302516 , 養樂多300 LIGHT活菌發酵乳5入),50
302552 , 叉子(銷售用),1
302555 , 樂事A5和牛口味洋芋片意合包,29
302556 , 湯匙(銷售用),1
302562 , (3串)UD新柔感抽衛(8包×3),600
302565 , 哈根達斯抹茶迷你杯,129
